comm_sz,dim,pop_size,n_iter,seed,time,best_value
1,30,50,1000,1744189072,1.344167232513428,164421.081390363950050
1,30,100,1000,1744189073,4.880895853042603,59678.106085975552560
1,30,200,1000,1744189078,18.450878143310547,30405.881176755941851
1,30,400,1000,1744189096,71.134803056716919,13507.883978994741483
1,30,800,1000,1744189168,278.995619058609009,4889.383572114922572
1,30,1600,1000,1744189447,1104.116528749465942,2126.837655109848129
1,30,3200,1000,1744190552,4416.428724288940430,967.970054952251417
1,30,50,1000,1744189072,1.342511177062988,164421.081390363950050
1,30,100,1000,1744189073,4.880435228347778,59678.106085975552560
1,30,200,1000,1744189078,18.365879058837891,30405.881176755941851
1,30,400,1000,1744189096,71.187336683273315,13507.883978994741483
1,30,800,1000,1744189168,278.483635663986206,4889.383572114922572
1,30,1600,1000,1744189447,1101.751484155654907,2126.837655109848129
1,30,3200,1000,1744190549,4377.916128635406494,769.962190975173485
1,30,50,1000,1744189071,1.343641996383667,74675.154272731946548
1,30,100,1000,1744189073,4.886727571487427,59678.106085975552560
1,30,200,1000,1744189078,18.476127147674561,30405.881176755941851
1,30,400,1000,1744189096,71.063710689544678,13507.883978994741483
1,30,800,1000,1744189168,279.428803682327271,4889.383572114922572
1,30,1600,1000,1744189447,1102.008274793624878,2126.837655109848129
1,30,3200,1000,1744190550,4384.854903936386108,739.291100305854798
1,30,50,1000,1744189071,1.337442874908447,74675.154272731946548
1,30,100,1000,1744189073,4.873490333557129,59678.106085975552560
1,30,200,1000,1744189078,18.377043724060059,30405.881176755941851
1,30,400,1000,1744189096,70.996543169021606,13507.883978994741483
1,30,800,1000,1744189167,278.325801849365234,5877.875309137692966
1,30,1600,1000,1744189446,1102.184018611907959,1512.437585636813310
1,30,3200,1000,1744190548,4376.007430315017700,984.739716409041989
1,30,50,1000,1744189071,1.608466148376465,74675.154272731946548
1,30,100,1000,1744189073,5.935220956802368,59678.106085975552560
1,30,200,1000,1744189079,22.576839447021484,39897.891531541186851
1,30,400,1000,1744189102,87.374509811401367,12352.170398901604131
1,30,800,1000,1744189189,344.534368753433228,2081.073892853716188
1,30,1600,1000,1744189534,1366.277060985565186,2838.393709302315983
2,30,50,1000,4029191016,0.638753652572632,209464.003804998705164
2,30,100,1000,2416012824,2.352572679519653,57192.526112888932403
2,30,200,1000,802970250,9.000720262527466,23059.967218080964813
2,30,400,1000,3485166256,35.194779396057129,13295.797328003489383
2,30,800,1000,1873570602,139.052662849426270,7488.957970596537052
2,30,1600,1000,3865550614,553.671675920486450,3050.959004855200874
2,30,3200,1000,774787168,2208.912122964859009,745.512083524327863
2,30,50,1000,1709561537,0.549800157546997,121839.582497264898848
2,30,100,1000,96383341,2.030738353729248,85513.519946093249018
2,30,200,1000,2778250415,7.768434524536133,14677.847997607026628
